year_month,observed_q_max_cms,observed_q_min_cms,simulated_q_max_cms,simulated_q_min_cms,q_max_perc_change,q_min_perc_change
1982_01,1194.969,14.753,602.4,131.7,-49.588650416872746,792.699789873246
1982_02,1299.741,218.606,442.8,161.3,-65.93167407968204,-26.2142850607943
1982_03,730.573,15.234,390.8,200.5,-46.507741183974765,1216.1349612708416
1982_04,679.603,20.105,427,149.8,-37.16920025367751,645.0882864958967
1982_05,594.653,29.449,888.8,105.1,49.465318429403354,256.8881795646711
1982_06,826.851,88.632,996.9,188.4,20.56585769382875,112.56431085838072
1982_07,240.126,9.373,276.5,149.5,15.147880695967947,1495.0069348127602
1982_08,238.427,9.231,254.2,83.94,6.615442043057203,809.3272668183296
1982_09,144.416,9.514,148,63.22,2.4817194770662554,564.4944292621401
1982_10,464.396,10.307,627.4,62.36,35.10021619479925,505.02571068206066
1982_11,229.932,38.511,270.7,72.4,17.730459440182315,87.99823427072785
1982_12,866.494,148.946,420.5,116.7,-51.47110078084788,-21.649456850133603
1983_01,484.217,56.067,314.2,164.6,-35.11173709308017,193.57732712647368
1983_02,1758.473,195.952,759.6,221.1,-56.80343115873829,12.833755205356411
1983_03,1761.305,280.336,1152,345.8,-34.59395164380956,23.35197762684778
1983_04,1279.919,308.653,785.9,444.8,-38.59767688424034,44.11005238892866
1983_05,283.168,148.097,429.5,295.7,51.67674313481749,99.66643483662733
1983_06,275.806,9.175,297.8,200.6,7.974445806110103,2086.3760217983645
1983_07,220.871,8.127,199.7,98.16,-9.585233009313137,1107.825765965301
1983_08,175.281,7.646,303.1,70.7,72.92233613454967,824.666492283547
1983_09,155.176,7.306,107.7,55.75,-30.594937361447638,663.071448124829
1983_10,224.835,7.079,153.7,47.41,-31.638757310916905,569.7273626218392
1983_11,260.798,7.787,316.8,47.96,21.473324181933915,515.8982920251701
1983_12,1928.374,221.721,963,154.7,-50.061554449499944,-30.22762841589205
1984_01,1863.245,112.984,557.8,143.4,-70.06298151880188,26.92062592933514
1984_02,1900.057,106.188,1220,241.9,-35.79139994221226,127.80351828831881
1984_03,1730.156,322.812,1039,370.8,-39.94761166045143,14.86561837849894
1984_04,1747.147,319.98,1023,374.2,-41.44739967501304,16.944809050565652
1984_05,1030.732,85.517,651.1,272.5,-36.831300473838006,218.6500929639721
1984_06,659.781,10.845,537.7,170.6,-18.50326093052087,1473.0751498386353
1984_07,1042.058,61.164,1206,180.1,15.732521606282953,194.4542541364201
1984_08,450.237,11.836,476.2,119.4,5.766518522467049,908.7867522811761
1984_09,244.94,8.467,118.5,70.14,-51.620805095125334,728.3925829691744
1984_10,173.865,8.467,170.6,56.13,-1.8778937681534609,562.9266564308492
1984_11,189.156,7.957,67.12,39.55,-64.51606081752628,397.04662561266804
1984_12,275.522,7.73,176,31.24,-36.12125347522158,304.13971539456657
1985_01,571.999,10.109,333.3,30.15,-41.73066736130658,198.2490849737857
1985_02,1271.424,80.986,689.9,137.5,-45.73800714789087,69.78243153137579
1985_03,331.307,10.619,195.5,77.84,-40.991286027762776,633.0257086354648
1985_04,153.477,8.467,104.4,61.74,-31.976778279481614,629.1838903980158
1985_05,399.267,10.081,347.9,64.22,-12.865325709362411,537.039976192838
1985_06,591.821,10.421,425.3,36.51,-28.1370549541162,250.3502542942136
1985_07,302.99,11.667,154.8,51.42,-48.90920492425492,340.7302648495757
1985_08,1735.82,17.613,897.7,47.19,-48.28380822896383,167.92709930165216
1985_09,399.267,4.134,278.9,47.37,-30.14699436717786,1045.8635703918721
1985_10,260.798,3.794,283.7,46.72,8.7815090606523,1131.418028465999
1985_11,1466.81,59.182,1053,67.5,-28.211561142888307,14.054949139941195
1985_12,1107.187,8.523,455.8,146.3,-58.83260912564906,1616.5317376510623
1986_01,272.124,19.793,169,114.8,-37.89595919507284,480.00303137472844
1986_02,220.871,11.242,116.7,91.34,-47.16372905451598,712.4888809820316
1986_03,365.287,9.345,236.2,57.03,-35.33851464738685,510.2728731942215
1986_04,198.501,8.495,93.48,50.44,-52.907038251696456,493.76103590347265
1986_05,154.043,4.163,100.4,37.7,-34.82339346805762,805.5969252942591
1986_06,108.17,8.693,77.02,19.21,-28.797263566608123,120.98239963188774
1986_07,125.16,9.628,61.14,18.9,-51.150527325023965,96.30245118404652
1986_08,291.663,5.635,631.5,42.65,116.51700764238177,656.8766637089618
1986_09,128.275,6.315,95.31,15.93,-25.698694211654647,152.2565320665083
1986_10,102.79,6.06,113.9,11.33,10.808444401206343,86.96369636963698
1986_11,218.889,7.957,138.5,60.8,-36.72592044369521,664.1070755309789
1986_12,270.992,28.883,199.2,83.98,-26.492294975497444,190.75927015891705
